index,  价格  ,商品
1   ,2999.00,华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB绮境森林全网通双4G手机
3   ,999.00,荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏手机 双卡双待
8   ,2199.00,华为 HUAWEI nova 5i Pro 前置3200万人像超级夜景4800万AI四摄极点全面屏6GB+128GB翡冷翠全网通双4G手机
12  ,6199.00,华为 HUAWEI Mate20 X (5G) 7nm工艺5G旗舰芯片全面屏超大广角徕卡三摄8GB+256GB翡冷翠5G双模全网通手机
14  ,1199.00,京品手机荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待
20  ,1288.00,HUAWEI WATCH GT运动版 黑色 华为手表 (两周续航+户外运动手表+实时心率+高清彩屏+睡眠/压力监测+NFC支付)
22  ,2699.00,荣耀20 4800万超广角AI四摄 3200W美颜自拍 麒麟Kirin980全网通版8GB+128GB 幻夜黑 移动联通电信4G全面屏
24  ,1399.00,荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+64GB 渐变蓝 移动联通电信4G全面屏手机 双卡双待
28  ,5488.00,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机
34  ,799.00,京品手机荣耀畅玩8C两天一充 莱茵护眼 刘海屏 全网通版4GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待
40  ,2199.00,华为 HUAWEI nova 5i 后置AI四摄 极点全面屏 前置2400万高清摄像头 8GB+128GB 苏音蓝 全网通双卡双待
44  ,4288.00,京品手机华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
50  ,5299.00,荣耀MagicBook Pro 16.1英寸全面屏轻薄性能笔记本电脑（酷睿i5 8G 512G MX250 IPS FHD 指纹解锁）冰河银
52  ,1449.00,华为 HUAWEI 畅享 9S 6GB+64GB 幻夜黑 全网通 2400万超广角三摄珍珠屏大存储 移动联通电信4G手机 双卡双待
56  ,2099.00,荣耀V20 游戏手机 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻影蓝 移动联通电信4G全面屏手机
62  ,1289.00,京品手机华为 HUAWEI 畅享9 Plus 4GB+64GB 极光紫 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待
67  ,2799.00,华为 HUAWEI nova 5 前置3200万人像超级夜景4800万AI四摄40W超级快充8GB+128GB绮境森林全网通双4G手机
71  ,5069.00,京品手机华为 HUAWEI Mate 20 Pro (UD)屏内指纹版麒麟980芯片全面屏超大广角徕卡三摄8GB+128GB亮黑色全网通双4G手机
79  ,1599.00,荣耀平板5 麒麟8核芯片  GT游戏加速 4G+64G 10.1英寸全高清屏影音平板电脑 WiFi版 冰川蓝
81  ,1969.00,京品手机华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏6GB+128GB雀翎蓝全网通版双4G手机
85  ,3199.00,荣耀20 PRO DXOMARK全球第二高分 4800万四摄 双光学防抖 麒麟980 全网通4G 8GB+128GB 蓝水翡翠 拍照手机
89  ,1599.00,华为 HUAWEI nova 3i 全面屏高清四摄游戏手机6GB+128GB 亮黑色 全网通移动联通电信4G手机双卡双待
93  ,3699.00,京品手机华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G手机
99  ,1099.00,华为 HUAWEI 畅享9  4GB+64GB 幻夜黑 高清珍珠屏 AI长续航 全网通高配版 移动联通电信4G手机
104 ,5488.00,华为P30 Pro 手机【当天发/分期免息/送华为无线充+华为1年碎屏险等10重礼】50倍数码变焦徕 天空之境 全网通（8G+128G）无线充电 屏内指纹
106 ,1399.00,荣耀8X Max 骁龙660 7.12英寸90%屏占比珍珠屏 6GB+64GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待
110 ,2299.00,京品手机荣耀Magic2魔法手机 麒麟980AI智能芯片 超广角AI三摄 6GB+128GB 渐变蓝 移动联通电信4G手机 双卡双待
114 ,7999.00,华为HUAWEI MateBook X Pro 2019款 英特尔酷睿i5 13.9英寸全面屏轻薄笔记本电脑(i5 8G 512G 3K 触控) 灰
120 ,749.00,华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+32GB宝石蓝全网通版双4G手机
125 ,5999.00,华为HUAWEI MateBook 14 全面屏轻薄性能笔记本电脑(英特尔酷睿i5 8G 512G MX250 office 2K 一碰传)灰
